id	version	q1.food	q2.water	q3.rest.dis	q4.therm.dis	q5.res.mov	q6.injury	q7.disease	q8.pain	q9.norm.behav	q10.other.behav	q11.neg.affect	q12.pos.affect	confidence	origin	categ																																																				
R_9Fwj5KgDsU241Vv	1	5	3	4	6	4	5	6	5	4	3	3	3	4	d	rep.calf																																																				
R_1Fb7QsWMRzEL1Dz	1	4	5	4	4	5	4	6	5	6	7	5	5	5	d	rep.calf																																																				
R_3fwtjTkCSATUi7W	1	1	1	3	3	1	2	3	2	1	5	2	2	5	d	rep.calf																																																				
R_25yJwdqRcy1lLDL	1	1	1	3	3	5	4	4	2	4	3	4	3	5	d	rep.calf																																																				
R_12J8mTiQQhjADnp	1	3	2	4	2	4	4	4	4	4	4	3	4	4	d	rep.calf																																																				
R_2eaQZYlGhshonY9	1	2	3	3	2	3	3	5	2	3	3	2	3	5	d	rep.calf																																																				
R_3EAn1cnHql4bkUM	2	4	3	4	4	4	4	4	4	5	5	4	4	5	d	rep.calf																																																				
R_DdBOruQbogui7ap	2	1	1	2	1	3	2	2	1	2	3	2	2	2	d	rep.calf																																																				
R_3qqYZEr2bErmgHU	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	d	rep.calf																																																				
R_2wB9mquI7hXwnji	2	4	1	1	3	1	3	3	2	1	1	1	1	3	d	rep.calf																																																				
R_1od4UIhFj0lpD98	2	1	1	1	1	1	1	3	1	1	1	1	1	5	d	rep.calf																																																				
R_24AvPnmtMsxd2Rs	2	6	6	4	3	3	3	6	5	2	5	4	3	4	d	rep.calf																																																				
R_3FUxMVDjBaaFl0Q	2	1	1	2	3	4	3	2	4	2	5	3	4	4	d	rep.calf																																																				
R_10qhdFD6DXfCoAo	2	1	1	1	3	2	2	2	6	4	4	3	3	3	d	rep.calf																																																				
R_1jUF3d0Crle6TIS	2	3	3	3	5	5	4	4	3	3	2	2	2	4	d	rep.calf																																																				
R_1r6yo1qxQZVuiOO	2	4	4	3	3	3	3	4	5	2	2	3	3	4	d	rep.calf																																																				
R_W3AKNfpPvb8BGzn	2	5	3	6	6	3	7	5	7	5	6	7	3	3	d	rep.calf																																																				
